AAPL,Apple
MSFT,Microsoft
GOOG,Alphabet (Google)
AMZN,Amazon
NVDA,NVIDIA
TSLA,Tesla
BRK-B,Berkshire Hathaway
META,Meta Platforms (Facebook)
V,Visa
UNH,UnitedHealth
LLY,Eli Lilly
JPM,JPMorgan Chase
XOM,Exxon Mobil
JNJ,Johnson & Johnson
WMT,Walmart
MA,Mastercard
PG,Procter & Gamble
AVGO,Broadcom
ORCL,Oracle
HD,Home Depot
CVX,Chevron
MRK,Merck
KO,Coca-Cola
PEP,Pepsico
ABBV,AbbVie
COST,Costco
BAC,Bank of America
ADBE,Adobe
MCD,McDonald
CSCO,Cisco
CRM,Salesforce
PFE,Pfizer
TMO,Thermo Fisher Scientific
NFLX,Netflix
ABT,Abbott Laboratories
AMD,AMD
CMCSA,Comcast
DHR,Danaher
TMUS,T-Mobile US
NKE,Nike
DIS,Disney
TXN,Texas Instruments
WFC,Wells Fargo
UPS,United Parcel Service
PM,Philip Morris
VZ,Verizon
NEE,NextEra Energy
MS,Morgan Stanley
RTX,Raytheon Technologies
HON,Honeywell
INTC,Intel